image_id,split,label,coverage
Normal-859,train,Normal,0.31808035714285715
Normal-158,train,Normal,0.17512356505102042
Normal-10121,train,Normal,0.33729272959183676
Normal-1811,train,Normal,0.2641103316326531
Normal-97,train,Normal,0.16711176658163265
Normal-1088,val,Normal,0.17047991071428573
Normal-5663,train,Normal,0.23838089923469388
Normal-6328,train,Normal,0.1849091198979592
Normal-8410,train,Normal,0.26688058035714285
Normal-5641,train,Normal,0.26072225765306123
Normal-4852,train,Normal,0.18642378826530612
Normal-9518,train,Normal,0.3052256058673469
Normal-6443,val,Normal,0.25135522959183676
Normal-6391,val,Normal,0.26309390943877553
Normal-8481,train,Normal,0.10196109693877552
Normal-3896,train,Normal,0.27772241709183676
Normal-893,train,Normal,0.2022281568877551
Normal-9955,train,Normal,0.34901147959183676
Normal-37,train,Normal,0.34556361607142855
Normal-7522,val,Normal,0.31485172193877553
Normal-4218,test,Normal,0.17942841198979592
Normal-1902,val,Normal,0.32310267857142855
Normal-8267,train,Normal,0.1985809948979592
Normal-10053,train,Normal,0.3009406887755102
Normal-373,test,Normal,0.2066326530612245
Normal-5549,train,Normal,0.1916454081632653
Normal-9229,val,Normal,0.2855947066326531
Normal-7605,train,Normal,0.32296316964285715
Normal-2118,val,Normal,0.23937739158163265
Normal-7005,train,Normal,0.2235530931122449
Normal-764,train,Normal,0.12619579081632654
Normal-9537,test,Normal,0.1434948979591837
Normal-6400,train,Normal,0.2505580357142857
Normal-2464,train,Normal,0.2093829719387755
Normal-4818,train,Normal,0.37075494260204084
Normal-4763,train,Normal,0.2725406568877551
Normal-8282,train,Normal,0.17578125
Normal-3391,test,Normal,0.2624561543367347
Normal-4654,train,Normal,0.3035514987244898
Normal-6235,train,Normal,0.25589923469387754
Normal-6540,train,Normal,0.2930883290816326
Normal-6698,train,Normal,0.1991390306122449
Normal-6833,train,Normal,0.21900908801020408
Normal-874,train,Normal,0.18933354591836735
Normal-3868,test,Normal,0.2938655931122449
Normal-10041,train,Normal,0.20322464923469388
Normal-9494,val,Normal,0.2897799744897959
Normal-8834,train,Normal,0.26143973214285715
Normal-6930,val,Normal,0.2265625
Normal-1793,train,Normal,0.1828563456632653
Normal-9732,val,Normal,0.2857142857142857
Normal-351,train,Normal,0.19868064413265307
Normal-772,train,Normal,0.16017617984693877
Normal-5183,train,Normal,0.15979751275510204
Normal-153,train,Normal,0.1825374681122449
Normal-813,train,Normal,0.2526705994897959
Normal-5576,train,Normal,0.26992984693877553
Normal-1688,test,Normal,0.23945711096938777
Normal-5763,train,Normal,0.3025749362244898
Normal-9417,test,Normal,0.336734693877551
Normal-8104,train,Normal,0.26753826530612246
Normal-3268,train,Normal,0.1458466198979592
Normal-6214,test,Normal,0.28380102040816324
Normal-3792,train,Normal,0.37643494897959184
Normal-5254,train,Normal,0.1832549426020408
Normal-9753,val,Normal,0.25980548469387754
Normal-2391,train,Normal,0.27576929209183676
Normal-2570,train,Normal,0.1971859056122449
Normal-1220,train,Normal,0.2150031887755102
Normal-727,train,Normal,0.24164939413265307
Normal-5406,train,Normal,0.2897401147959184
Normal-4407,train,Normal,0.24912308673469388
Normal-2960,val,Normal,0.29081632653061223
Normal-4302,train,Normal,0.2614795918367347
Normal-4140,train,Normal,0.2697903380102041
Normal-7789,val,Normal,0.18379304846938777
Normal-4067,train,Normal,0.18207908163265307
Normal-4867,val,Normal,0.20750956632653061
Normal-2283,test,Normal,0.3250757334183674
Normal-7318,train,Normal,0.20503826530612246
Normal-4694,test,Normal,0.31604751275510207
Normal-1149,train,Normal,0.27236128826530615
Normal-9044,train,Normal,0.36228475765306123
Normal-5242,train,Normal,0.23618861607142858
Normal-4203,train,Normal,0.31668526785714285
Normal-7595,train,Normal,0.33914620535714285
Normal-1819,test,Normal,0.278499681122449
Normal-6563,val,Normal,0.17454559948979592
Normal-2561,train,Normal,0.1994579081632653
Normal-6354,train,Normal,0.23586973852040816
Normal-5416,train,Normal,0.16547751913265307
Normal-6465,train,Normal,0.2361686862244898
Normal-1427,train,Normal,0.27853954081632654
Normal-2089,test,Normal,0.25205277423469385
Normal-3954,train,Normal,0.24914301658163265
Normal-8949,train,Normal,0.25279017857142855
Normal-1203,train,Normal,0.20202885841836735
Normal-5145,train,Normal,0.24772799744897958
Normal-350,train,Normal,0.1395687181122449
Normal-4525,val,Normal,0.24198820153061223
Normal-2005,train,Normal,0.32248485331632654
Normal-4389,train,Normal,0.32093032525510207
Normal-8894,train,Normal,0.2860132334183674
Normal-6562,val,Normal,0.24559550382653061
Normal-2026,train,Normal,0.2942641900510204
Normal-9143,train,Normal,0.24982063137755103
Normal-2049,test,Normal,0.3270886479591837
Normal-4442,val,Normal,0.21277104591836735
Normal-1531,train,Normal,0.3007015306122449
Normal-2108,test,Normal,0.25906808035714285
Normal-1803,train,Normal,0.259944993622449
Normal-4216,train,Normal,0.27052774234693877
Normal-4318,val,Normal,0.2660634566326531
Normal-3464,train,Normal,0.2110969387755102
Normal-8138,test,Normal,0.13135762117346939
Normal-5606,train,Normal,0.24443957270408162
Normal-4948,train,Normal,0.2507174744897959
Normal-3940,train,Normal,0.2803930165816326
Normal-6911,val,Normal,0.20908402423469388
Normal-2221,train,Normal,0.20055404974489796
Normal-933,test,Normal,0.17731584821428573
